11:37:40.864462 config: drop-rate=0.20, max-delay=10ms, seed=1
20:59:39.554226 config: drop-rate=0.00, max-delay=10ms, seed=1
20:59:39.554684 router is listening at :3000
20:59:48.254279 [queue=1] packet #2, 127.0.0.1:49946 -> 127.0.0.1:8080, sz=9 is delayed for 8.7ms
20:59:48.263944 [queue=0] packet #2, 127.0.0.1:49946 -> 127.0.0.1:8080, sz=9 is delivered
20:59:48.265143 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:49946, sz=17 is delayed for 5.9ms
20:59:48.272282 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:49946, sz=17 is delivered
20:59:48.273219 [queue=1] packet #4, 127.0.0.1:49946 -> 127.0.0.1:8080, sz=17 is delayed for 1.8ms
20:59:48.275386 [queue=0] packet #4, 127.0.0.1:49946 -> 127.0.0.1:8080, sz=17 is delivered
20:59:53.267498 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:49946, sz=17 is delayed for 4ms
20:59:53.272900 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:49946, sz=17 is delivered
21:00:31.824997 [queue=1] packet #2, 127.0.0.1:62411 -> 127.0.0.1:8080, sz=9 is delayed for 0s
21:00:31.825145 [queue=0] packet #2, 127.0.0.1:62411 -> 127.0.0.1:8080, sz=9 is delivered
21:00:31.825884 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:62411, sz=17 is delayed for 1.1ms
21:00:31.827199 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:62411, sz=17 is delivered
21:00:31.828310 [queue=1] packet #4, 127.0.0.1:62411 -> 127.0.0.1:8080, sz=17 is delayed for 8.9ms
21:00:31.839771 [queue=0] packet #4, 127.0.0.1:62411 -> 127.0.0.1:8080, sz=17 is delivered
21:00:36.829494 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:62411, sz=17 is delayed for 7.4ms
21:00:36.830441 [queue=2] packet #0, 127.0.0.1:62411 -> 127.0.0.1:8080, sz=31 is delayed for 4.5ms
21:00:36.836160 [queue=1] packet #0, 127.0.0.1:62411 -> 127.0.0.1:8080, sz=31 is delivered
21:00:36.837405 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:62411, sz=17 is delivered
21:00:41.840308 [queue=1] packet #0, 127.0.0.1:62411 -> 127.0.0.1:8080, sz=31 is delayed for 600µs
21:00:41.841378 [queue=0] packet #0, 127.0.0.1:62411 -> 127.0.0.1:8080, sz=31 is delivered
21:00:46.844164 [queue=1] packet #0, 127.0.0.1:62411 -> 127.0.0.1:8080, sz=31 is delayed for 6.6ms
21:00:46.852620 [queue=0] packet #0, 127.0.0.1:62411 -> 127.0.0.1:8080, sz=31 is delivered
